Date;Source;Site ID;POC;Daily Mean PM10 Concentration;UNITS;DAILY_AQI_VALUE;Site Name;DAILY_OBS_COUNT;PERCENT_COMPLETE;AQS_PARAMETER_CODE;AQS_PARAMETER_DESC;CBSA_CODE;CBSA_NAME;STATE_CODE;STATE;COUNTY_CODE;COUNTY;SITE_LATITUDE;SITE_LONGITUDE
01.01.2000;AQS;360050110;1;33;ug/m3 SC;31;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
01.01.2000;AQS;360050110;4;31;ug/m3 SC;29;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
02.01.2000;AQS;360050110;4;22;ug/m3 SC;20;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
03.01.2000;AQS;360050110;4;20;ug/m3 SC;19;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
04.01.2000;AQS;360050110;4;18;ug/m3 SC;17;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
05.01.2000;AQS;360050110;4;24;ug/m3 SC;22;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
06.01.2000;AQS;360050110;4;52;ug/m3 SC;48;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
07.01.2000;AQS;360050110;4;23;ug/m3 SC;21;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
08.01.2000;AQS;360050110;4;23;ug/m3 SC;21;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
09.01.2000;AQS;360050110;4;17;ug/m3 SC;16;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
10.01.2000;AQS;360050110;4;20;ug/m3 SC;19;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
11.01.2000;AQS;360050110;4;16;ug/m3 SC;15;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12.01.2000;AQS;360050110;4;9;ug/m3 SC;8;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
01.02.2000;AQS;360050110;4;38;ug/m3 SC;35;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
02.02.2000;AQS;360050110;4;9;ug/m3 SC;8;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
03.02.2000;AQS;360050110;4;10;ug/m3 SC;9;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
04.02.2000;AQS;360050110;4;25;ug/m3 SC;23;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
05.02.2000;AQS;360050110;4;18;ug/m3 SC;17;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
06.02.2000;AQS;360050110;4;55;ug/m3 SC;51;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
07.02.2000;AQS;360050110;4;30;ug/m3 SC;28;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
08.02.2000;AQS;360050110;4;40;ug/m3 SC;37;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
09.02.2000;AQS;360050110;4;24;ug/m3 SC;22;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
10.02.2000;AQS;360050110;4;33;ug/m3 SC;31;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
11.02.2000;AQS;360050110;4;15;ug/m3 SC;14;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12.02.2000;AQS;360050110;1;10;ug/m3 SC;9;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12.02.2000;AQS;360050110;4;10;ug/m3 SC;9;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
01.03.2000;AQS;360050110;4;29;ug/m3 SC;27;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
02.03.2000;AQS;360050110;4;19;ug/m3 SC;18;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
03.03.2000;AQS;360050110;4;8;ug/m3 SC;7;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
05.03.2000;AQS;360050110;4;21;ug/m3 SC;19;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
06.03.2000;AQS;360050110;4;12;ug/m3 SC;11;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
07.03.2000;AQS;360050110;4;47;ug/m3 SC;44;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
08.03.2000;AQS;360050110;4;31;ug/m3 SC;29;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
09.03.2000;AQS;360050110;1;24;ug/m3 SC;22;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
09.03.2000;AQS;360050110;4;26;ug/m3 SC;24;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
10.03.2000;AQS;360050110;1;37;ug/m3 SC;34;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
10.03.2000;AQS;360050110;4;46;ug/m3 SC;43;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
11.03.2000;AQS;360050110;4;27;ug/m3 SC;25;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12.03.2000;AQS;360050110;4;15;ug/m3 SC;14;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
01.04.2000;AQS;360050110;4;19;ug/m3 SC;18;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
02.04.2000;AQS;360050110;4;28;ug/m3 SC;26;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
03.04.2000;AQS;360050110;4;9;ug/m3 SC;8;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
05.04.2000;AQS;360050110;4;23;ug/m3 SC;21;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
06.04.2000;AQS;360050110;4;12;ug/m3 SC;11;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
07.04.2000;AQS;360050110;4;35;ug/m3 SC;32;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
08.04.2000;AQS;360050110;1;18;ug/m3 SC;17;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
08.04.2000;AQS;360050110;4;18;ug/m3 SC;17;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
09.04.2000;AQS;360050110;4;16;ug/m3 SC;15;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
10.04.2000;AQS;360050110;4;35;ug/m3 SC;32;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
11.04.2000;AQS;360050110;4;32;ug/m3 SC;30;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12.04.2000;AQS;360050110;4;32;ug/m3 SC;30;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
01.05.2000;AQS;360050110;4;6;ug/m3 SC;6;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
02.05.2000;AQS;360050110;4;20;ug/m3 SC;19;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
03.05.2000;AQS;360050110;4;13;ug/m3 SC;12;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
05.05.2000;AQS;360050110;4;34;ug/m3 SC;31;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
06.05.2000;AQS;360050110;1;14;ug/m3 SC;13;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
06.05.2000;AQS;360050110;4;13;ug/m3 SC;12;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
07.05.2000;AQS;360050110;1;18;ug/m3 SC;17;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
07.05.2000;AQS;360050110;4;15;ug/m3 SC;14;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
08.05.2000;AQS;360050110;4;14;ug/m3 SC;13;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
09.05.2000;AQS;360050110;4;6;ug/m3 SC;6;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
10.05.2000;AQS;360050110;4;16;ug/m3 SC;15;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
11.05.2000;AQS;360050110;4;11;ug/m3 SC;10;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12.05.2000;AQS;360050110;4;28;ug/m3 SC;26;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
01.06.2000;AQS;360050110;4;13;ug/m3 SC;12;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
02.06.2000;AQS;360050110;1;12;ug/m3 SC;11;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
02.06.2000;AQS;360050110;4;12;ug/m3 SC;11;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
03.06.2000;AQS;360050110;4;11;ug/m3 SC;10;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
04.06.2000;AQS;360050110;1;29;ug/m3 SC;27;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
05.06.2000;AQS;360050110;1;39;ug/m3 SC;36;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
05.06.2000;AQS;360050110;4;43;ug/m3 SC;40;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
06.06.2000;AQS;360050110;4;8;ug/m3 SC;7;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
07.06.2000;AQS;360050110;4;13;ug/m3 SC;12;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
08.06.2000;AQS;360050110;4;32;ug/m3 SC;30;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
09.06.2000;AQS;360050110;4;11;ug/m3 SC;10;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
10.06.2000;AQS;360050110;4;30;ug/m3 SC;28;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
11.06.2000;AQS;360050110;4;12;ug/m3 SC;11;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12.06.2000;AQS;360050110;4;10;ug/m3 SC;9;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
01.07.2000;AQS;360050110;1;20;ug/m3 SC;19;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
01.07.2000;AQS;360050110;4;18;ug/m3 SC;17;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
02.07.2000;AQS;360050110;4;19;ug/m3 SC;18;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
03.07.2000;AQS;360050110;1;24;ug/m3 SC;22;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
03.07.2000;AQS;360050110;4;30;ug/m3 SC;28;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
05.07.2000;AQS;360050110;4;40;ug/m3 SC;37;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
06.07.2000;AQS;360050110;4;12;ug/m3 SC;11;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
07.07.2000;AQS;360050110;4;12;ug/m3 SC;11;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
08.07.2000;AQS;360050110;4;37;ug/m3 SC;34;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
09.07.2000;AQS;360050110;4;22;ug/m3 SC;20;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
10.07.2000;AQS;360050110;4;10;ug/m3 SC;9;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
11.07.2000;AQS;360050110;4;17;ug/m3 SC;16;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12.07.2000;AQS;360050110;4;17;ug/m3 SC;16;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
01.08.2000;AQS;360050110;4;15;ug/m3 SC;14;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
02.08.2000;AQS;360050110;4;16;ug/m3 SC;15;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
03.08.2000;AQS;360050110;4;40;ug/m3 SC;37;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
05.08.2000;AQS;360050110;4;51;ug/m3 SC;47;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
06.08.2000;AQS;360050110;4;38;ug/m3 SC;35;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
07.08.2000;AQS;360050110;4;10;ug/m3 SC;9;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
08.08.2000;AQS;360050110;4;30;ug/m3 SC;28;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
09.08.2000;AQS;360050110;4;27;ug/m3 SC;25;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
10.08.2000;AQS;360050110;4;8;ug/m3 SC;7;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
11.08.2000;AQS;360050110;4;28;ug/m3 SC;26;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12.08.2000;AQS;360050110;1;24;ug/m3 SC;22;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12.08.2000;AQS;360050110;4;21;ug/m3 SC;19;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
01.09.2000;AQS;360050110;4;23;ug/m3 SC;21;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
02.09.2000;AQS;360050110;4;28;ug/m3 SC;26;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
03.09.2000;AQS;360050110;4;66;ug/m3 SC;56;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
05.09.2000;AQS;360050110;4;55;ug/m3 SC;51;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
06.09.2000;AQS;360050110;4;46;ug/m3 SC;43;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
07.09.2000;AQS;360050110;4;31;ug/m3 SC;29;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
08.09.2000;AQS;360050110;4;38;ug/m3 SC;35;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
09.09.2000;AQS;360050110;1;37;ug/m3 SC;34;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
09.09.2000;AQS;360050110;4;41;ug/m3 SC;38;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
10.09.2000;AQS;360050110;1;9;ug/m3 SC;8;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
10.09.2000;AQS;360050110;4;10;ug/m3 SC;9;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
11.09.2000;AQS;360050110;4;36;ug/m3 SC;33;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
12.09.2000;AQS;360050110;4;20;ug/m3 SC;19;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
01.10.2000;AQS;360050110;4;16;ug/m3 SC;15;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
02.10.2000;AQS;360050110;4;40;ug/m3 SC;37;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
03.10.2000;AQS;360050110;4;11;ug/m3 SC;10;IS 52;1;100;81102;PM10 Total 0-10um STP;35620;New York-Newark-Jersey City, NY-NJ-PA;36;New York;5;Bronx;40.816;-73.902
