LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value
GBR;QGDP;VOLIDX;IDX;Q;1955-Q1;22.8
GBR;QGDP;VOLIDX;IDX;Q;1955-Q2;22.8
GBR;QGDP;VOLIDX;IDX;Q;1955-Q3;23.3
GBR;QGDP;VOLIDX;IDX;Q;1955-Q4;23.2
GBR;QGDP;VOLIDX;IDX;Q;1956-Q1;23.4
GBR;QGDP;VOLIDX;IDX;Q;1956-Q2;23.4
GBR;QGDP;VOLIDX;IDX;Q;1956-Q3;23.4
GBR;QGDP;VOLIDX;IDX;Q;1956-Q4;23.5
GBR;QGDP;VOLIDX;IDX;Q;1957-Q1;23.9
GBR;QGDP;VOLIDX;IDX;Q;1957-Q2;23.9
GBR;QGDP;VOLIDX;IDX;Q;1957-Q3;23.8
GBR;QGDP;VOLIDX;IDX;Q;1957-Q4;23.8
GBR;QGDP;VOLIDX;IDX;Q;1958-Q1;24.3
GBR;QGDP;VOLIDX;IDX;Q;1958-Q2;23.8
GBR;QGDP;VOLIDX;IDX;Q;1958-Q3;24.3
GBR;QGDP;VOLIDX;IDX;Q;1958-Q4;24.3
GBR;QGDP;VOLIDX;IDX;Q;1959-Q1;24.5
GBR;QGDP;VOLIDX;IDX;Q;1959-Q2;24.9
GBR;QGDP;VOLIDX;IDX;Q;1959-Q3;25.4
GBR;QGDP;VOLIDX;IDX;Q;1959-Q4;26.1
GBR;QGDP;VOLIDX;IDX;Q;1960-Q1;26.7
GBR;QGDP;VOLIDX;IDX;Q;1960-Q2;26.5
GBR;QGDP;VOLIDX;IDX;Q;1960-Q3;26.9
GBR;QGDP;VOLIDX;IDX;Q;1960-Q4;27.1
GBR;QGDP;VOLIDX;IDX;Q;1961-Q1;27.5
GBR;QGDP;VOLIDX;IDX;Q;1961-Q2;27.6
GBR;QGDP;VOLIDX;IDX;Q;1961-Q3;27.5
GBR;QGDP;VOLIDX;IDX;Q;1961-Q4;27.5
GBR;QGDP;VOLIDX;IDX;Q;1962-Q1;27.6
GBR;QGDP;VOLIDX;IDX;Q;1962-Q2;27.8
GBR;QGDP;VOLIDX;IDX;Q;1962-Q3;28
GBR;QGDP;VOLIDX;IDX;Q;1962-Q4;27.9
GBR;QGDP;VOLIDX;IDX;Q;1963-Q1;28
GBR;QGDP;VOLIDX;IDX;Q;1963-Q2;29.2
GBR;QGDP;VOLIDX;IDX;Q;1963-Q3;29.4
GBR;QGDP;VOLIDX;IDX;Q;1963-Q4;30.1
GBR;QGDP;VOLIDX;IDX;Q;1964-Q1;30.2
GBR;QGDP;VOLIDX;IDX;Q;1964-Q2;30.8
GBR;QGDP;VOLIDX;IDX;Q;1964-Q3;30.9
GBR;QGDP;VOLIDX;IDX;Q;1964-Q4;31.4
GBR;QGDP;VOLIDX;IDX;Q;1965-Q1;31.3
GBR;QGDP;VOLIDX;IDX;Q;1965-Q2;31.3
GBR;QGDP;VOLIDX;IDX;Q;1965-Q3;31.6
GBR;QGDP;VOLIDX;IDX;Q;1965-Q4;31.8
GBR;QGDP;VOLIDX;IDX;Q;1966-Q1;31.8
GBR;QGDP;VOLIDX;IDX;Q;1966-Q2;32
GBR;QGDP;VOLIDX;IDX;Q;1966-Q3;32.1
GBR;QGDP;VOLIDX;IDX;Q;1966-Q4;32
GBR;QGDP;VOLIDX;IDX;Q;1967-Q1;32.4
GBR;QGDP;VOLIDX;IDX;Q;1967-Q2;32.9
GBR;QGDP;VOLIDX;IDX;Q;1967-Q3;33
GBR;QGDP;VOLIDX;IDX;Q;1967-Q4;33.2
GBR;QGDP;VOLIDX;IDX;Q;1968-Q1;34.4
GBR;QGDP;VOLIDX;IDX;Q;1968-Q2;34.3
GBR;QGDP;VOLIDX;IDX;Q;1968-Q3;34.9
GBR;QGDP;VOLIDX;IDX;Q;1968-Q4;35.1
GBR;QGDP;VOLIDX;IDX;Q;1969-Q1;35
GBR;QGDP;VOLIDX;IDX;Q;1969-Q2;35.3
GBR;QGDP;VOLIDX;IDX;Q;1969-Q3;35.4
GBR;QGDP;VOLIDX;IDX;Q;1969-Q4;35.6
GBR;QGDP;VOLIDX;IDX;Q;1970-Q1;35.4
GBR;QGDP;VOLIDX;IDX;Q;1970-Q2;36.2
GBR;QGDP;VOLIDX;IDX;Q;1970-Q3;36.6
GBR;QGDP;VOLIDX;IDX;Q;1970-Q4;36.9
GBR;QGDP;VOLIDX;IDX;Q;1971-Q1;36.7
GBR;QGDP;VOLIDX;IDX;Q;1971-Q2;37.4
GBR;QGDP;VOLIDX;IDX;Q;1971-Q3;38
GBR;QGDP;VOLIDX;IDX;Q;1971-Q4;38.2
GBR;QGDP;VOLIDX;IDX;Q;1972-Q1;38.2
GBR;QGDP;VOLIDX;IDX;Q;1972-Q2;39.2
GBR;QGDP;VOLIDX;IDX;Q;1972-Q3;39.3
GBR;QGDP;VOLIDX;IDX;Q;1972-Q4;40
GBR;QGDP;VOLIDX;IDX;Q;1973-Q1;41.9
GBR;QGDP;VOLIDX;IDX;Q;1973-Q2;42
GBR;QGDP;VOLIDX;IDX;Q;1973-Q3;41.6
GBR;QGDP;VOLIDX;IDX;Q;1973-Q4;41.4
GBR;QGDP;VOLIDX;IDX;Q;1974-Q1;40.3
GBR;QGDP;VOLIDX;IDX;Q;1974-Q2;40.9
GBR;QGDP;VOLIDX;IDX;Q;1974-Q3;41.1
GBR;QGDP;VOLIDX;IDX;Q;1974-Q4;40.5
GBR;QGDP;VOLIDX;IDX;Q;1975-Q1;40.5
GBR;QGDP;VOLIDX;IDX;Q;1975-Q2;39.9
GBR;QGDP;VOLIDX;IDX;Q;1975-Q3;39.7
GBR;QGDP;VOLIDX;IDX;Q;1975-Q4;40.2
GBR;QGDP;VOLIDX;IDX;Q;1976-Q1;40.9
GBR;QGDP;VOLIDX;IDX;Q;1976-Q2;40.8
GBR;QGDP;VOLIDX;IDX;Q;1976-Q3;41.3
GBR;QGDP;VOLIDX;IDX;Q;1976-Q4;42.2
GBR;QGDP;VOLIDX;IDX;Q;1977-Q1;42.2
GBR;QGDP;VOLIDX;IDX;Q;1977-Q2;41.9
GBR;QGDP;VOLIDX;IDX;Q;1977-Q3;42.2
GBR;QGDP;VOLIDX;IDX;Q;1977-Q4;42.9
GBR;QGDP;VOLIDX;IDX;Q;1978-Q1;43.3
GBR;QGDP;VOLIDX;IDX;Q;1978-Q2;43.8
GBR;QGDP;VOLIDX;IDX;Q;1978-Q3;44.4
GBR;QGDP;VOLIDX;IDX;Q;1978-Q4;44.8
GBR;QGDP;VOLIDX;IDX;Q;1979-Q1;44.6
GBR;QGDP;VOLIDX;IDX;Q;1979-Q2;46.6
GBR;QGDP;VOLIDX;IDX;Q;1979-Q3;45.6
GBR;QGDP;VOLIDX;IDX;Q;1979-Q4;46
GBR;QGDP;VOLIDX;IDX;Q;1980-Q1;45.6
GBR;QGDP;VOLIDX;IDX;Q;1980-Q2;44.7
GBR;QGDP;VOLIDX;IDX;Q;1980-Q3;44.6
GBR;QGDP;VOLIDX;IDX;Q;1980-Q4;44.2
GBR;QGDP;VOLIDX;IDX;Q;1981-Q1;44.1
GBR;QGDP;VOLIDX;IDX;Q;1981-Q2;44.2
GBR;QGDP;VOLIDX;IDX;Q;1981-Q3;44.7
GBR;QGDP;VOLIDX;IDX;Q;1981-Q4;44.8
GBR;QGDP;VOLIDX;IDX;Q;1982-Q1;44.8
GBR;QGDP;VOLIDX;IDX;Q;1982-Q2;45.3
GBR;QGDP;VOLIDX;IDX;Q;1982-Q3;45.4
GBR;QGDP;VOLIDX;IDX;Q;1982-Q4;45.7
GBR;QGDP;VOLIDX;IDX;Q;1983-Q1;46.6
GBR;QGDP;VOLIDX;IDX;Q;1983-Q2;47
GBR;QGDP;VOLIDX;IDX;Q;1983-Q3;47.5
GBR;QGDP;VOLIDX;IDX;Q;1983-Q4;47.9
GBR;QGDP;VOLIDX;IDX;Q;1984-Q1;48.2
GBR;QGDP;VOLIDX;IDX;Q;1984-Q2;47.8
GBR;QGDP;VOLIDX;IDX;Q;1984-Q3;48.1
GBR;QGDP;VOLIDX;IDX;Q;1984-Q4;49.1
GBR;QGDP;VOLIDX;IDX;Q;1985-Q1;49.4
GBR;QGDP;VOLIDX;IDX;Q;1985-Q2;50.5
GBR;QGDP;VOLIDX;IDX;Q;1985-Q3;50.5
GBR;QGDP;VOLIDX;IDX;Q;1985-Q4;50.7
GBR;QGDP;VOLIDX;IDX;Q;1986-Q1;51.2
GBR;QGDP;VOLIDX;IDX;Q;1986-Q2;51.6
GBR;QGDP;VOLIDX;IDX;Q;1986-Q3;51.9
GBR;QGDP;VOLIDX;IDX;Q;1986-Q4;52.8
GBR;QGDP;VOLIDX;IDX;Q;1987-Q1;53.3
GBR;QGDP;VOLIDX;IDX;Q;1987-Q2;54.1
GBR;QGDP;VOLIDX;IDX;Q;1987-Q3;55.4
GBR;QGDP;VOLIDX;IDX;Q;1987-Q4;56
GBR;QGDP;VOLIDX;IDX;Q;1988-Q1;57
GBR;QGDP;VOLIDX;IDX;Q;1988-Q2;57.3
GBR;QGDP;VOLIDX;IDX;Q;1988-Q3;58.2
GBR;QGDP;VOLIDX;IDX;Q;1988-Q4;58.7
GBR;QGDP;VOLIDX;IDX;Q;1989-Q1;59
GBR;QGDP;VOLIDX;IDX;Q;1989-Q2;59.3
GBR;QGDP;VOLIDX;IDX;Q;1989-Q3;59.4
GBR;QGDP;VOLIDX;IDX;Q;1989-Q4;59.5
GBR;QGDP;VOLIDX;IDX;Q;1990-Q1;59.9
GBR;QGDP;VOLIDX;IDX;Q;1990-Q2;60.2
GBR;QGDP;VOLIDX;IDX;Q;1990-Q3;59.5
GBR;QGDP;VOLIDX;IDX;Q;1990-Q4;59.3
GBR;QGDP;VOLIDX;IDX;Q;1991-Q1;59.2
GBR;QGDP;VOLIDX;IDX;Q;1991-Q2;59.1
GBR;QGDP;VOLIDX;IDX;Q;1991-Q3;59
GBR;QGDP;VOLIDX;IDX;Q;1991-Q4;59.1
GBR;QGDP;VOLIDX;IDX;Q;1992-Q1;59.1
GBR;QGDP;VOLIDX;IDX;Q;1992-Q2;59
GBR;QGDP;VOLIDX;IDX;Q;1992-Q3;59.4
GBR;QGDP;VOLIDX;IDX;Q;1992-Q4;59.8
GBR;QGDP;VOLIDX;IDX;Q;1993-Q1;60.2
GBR;QGDP;VOLIDX;IDX;Q;1993-Q2;60.5
GBR;QGDP;VOLIDX;IDX;Q;1993-Q3;61
GBR;QGDP;VOLIDX;IDX;Q;1993-Q4;61.4
GBR;QGDP;VOLIDX;IDX;Q;1994-Q1;62.1
GBR;QGDP;VOLIDX;IDX;Q;1994-Q2;62.9
GBR;QGDP;VOLIDX;IDX;Q;1994-Q3;63.6
GBR;QGDP;VOLIDX;IDX;Q;1994-Q4;63.9
GBR;QGDP;VOLIDX;IDX;Q;1995-Q1;64.2
GBR;QGDP;VOLIDX;IDX;Q;1995-Q2;64.4
GBR;QGDP;VOLIDX;IDX;Q;1995-Q3;65.1
GBR;QGDP;VOLIDX;IDX;Q;1995-Q4;65.2
GBR;QGDP;VOLIDX;IDX;Q;1996-Q1;65.6
GBR;QGDP;VOLIDX;IDX;Q;1996-Q2;65.8
GBR;QGDP;VOLIDX;IDX;Q;1996-Q3;66.5
GBR;QGDP;VOLIDX;IDX;Q;1996-Q4;67.4
GBR;QGDP;VOLIDX;IDX;Q;1997-Q1;68.7
GBR;QGDP;VOLIDX;IDX;Q;1997-Q2;69.3
GBR;QGDP;VOLIDX;IDX;Q;1997-Q3;69.8
GBR;QGDP;VOLIDX;IDX;Q;1997-Q4;70.6
GBR;QGDP;VOLIDX;IDX;Q;1998-Q1;71.3
GBR;QGDP;VOLIDX;IDX;Q;1998-Q2;72
GBR;QGDP;VOLIDX;IDX;Q;1998-Q3;72.5
GBR;QGDP;VOLIDX;IDX;Q;1998-Q4;73.2
GBR;QGDP;VOLIDX;IDX;Q;1999-Q1;73.6
GBR;QGDP;VOLIDX;IDX;Q;1999-Q2;73.7
GBR;QGDP;VOLIDX;IDX;Q;1999-Q3;75
GBR;QGDP;VOLIDX;IDX;Q;1999-Q4;76.1
GBR;QGDP;VOLIDX;IDX;Q;2000-Q1;76.7
GBR;QGDP;VOLIDX;IDX;Q;2000-Q2;77.2
GBR;QGDP;VOLIDX;IDX;Q;2000-Q3;77.4
GBR;QGDP;VOLIDX;IDX;Q;2000-Q4;77.6
GBR;QGDP;VOLIDX;IDX;Q;2001-Q1;78.5
GBR;QGDP;VOLIDX;IDX;Q;2001-Q2;79.1
GBR;QGDP;VOLIDX;IDX;Q;2001-Q3;79.7
GBR;QGDP;VOLIDX;IDX;Q;2001-Q4;80
GBR;QGDP;VOLIDX;IDX;Q;2002-Q1;80.3
GBR;QGDP;VOLIDX;IDX;Q;2002-Q2;80.7
GBR;QGDP;VOLIDX;IDX;Q;2002-Q3;81.3
GBR;QGDP;VOLIDX;IDX;Q;2002-Q4;81.9
GBR;QGDP;VOLIDX;IDX;Q;2003-Q1;82.5
GBR;QGDP;VOLIDX;IDX;Q;2003-Q2;83.3
GBR;QGDP;VOLIDX;IDX;Q;2003-Q3;84.2
GBR;QGDP;VOLIDX;IDX;Q;2003-Q4;85
GBR;QGDP;VOLIDX;IDX;Q;2004-Q1;85.3
GBR;QGDP;VOLIDX;IDX;Q;2004-Q2;85.6
GBR;QGDP;VOLIDX;IDX;Q;2004-Q3;85.8
GBR;QGDP;VOLIDX;IDX;Q;2004-Q4;86
GBR;QGDP;VOLIDX;IDX;Q;2005-Q1;86.7
GBR;QGDP;VOLIDX;IDX;Q;2005-Q2;87.7
GBR;QGDP;VOLIDX;IDX;Q;2005-Q3;88.6
GBR;QGDP;VOLIDX;IDX;Q;2005-Q4;89.8
GBR;QGDP;VOLIDX;IDX;Q;2006-Q1;90.2
GBR;QGDP;VOLIDX;IDX;Q;2006-Q2;90.5
GBR;QGDP;VOLIDX;IDX;Q;2006-Q3;90.6
GBR;QGDP;VOLIDX;IDX;Q;2006-Q4;91
GBR;QGDP;VOLIDX;IDX;Q;2007-Q1;91.8
GBR;QGDP;VOLIDX;IDX;Q;2007-Q2;92.4
GBR;QGDP;VOLIDX;IDX;Q;2007-Q3;93.1
GBR;QGDP;VOLIDX;IDX;Q;2007-Q4;93.5
GBR;QGDP;VOLIDX;IDX;Q;2008-Q1;94
GBR;QGDP;VOLIDX;IDX;Q;2008-Q2;93.5
GBR;QGDP;VOLIDX;IDX;Q;2008-Q3;92.1
GBR;QGDP;VOLIDX;IDX;Q;2008-Q4;90.2
GBR;QGDP;VOLIDX;IDX;Q;2009-Q1;88.6
GBR;QGDP;VOLIDX;IDX;Q;2009-Q2;88.5
GBR;QGDP;VOLIDX;IDX;Q;2009-Q3;88.6
GBR;QGDP;VOLIDX;IDX;Q;2009-Q4;88.9
GBR;QGDP;VOLIDX;IDX;Q;2010-Q1;89.4
GBR;QGDP;VOLIDX;IDX;Q;2010-Q2;90.4
GBR;QGDP;VOLIDX;IDX;Q;2010-Q3;91
GBR;QGDP;VOLIDX;IDX;Q;2010-Q4;91.1
GBR;QGDP;VOLIDX;IDX;Q;2011-Q1;91.4
GBR;QGDP;VOLIDX;IDX;Q;2011-Q2;91.5
GBR;QGDP;VOLIDX;IDX;Q;2011-Q3;91.8
GBR;QGDP;VOLIDX;IDX;Q;2011-Q4;91.9
GBR;QGDP;VOLIDX;IDX;Q;2012-Q1;92.5
GBR;QGDP;VOLIDX;IDX;Q;2012-Q2;92.4
GBR;QGDP;VOLIDX;IDX;Q;2012-Q3;93.5
GBR;QGDP;VOLIDX;IDX;Q;2012-Q4;93.3
GBR;QGDP;VOLIDX;IDX;Q;2013-Q1;93.8
GBR;QGDP;VOLIDX;IDX;Q;2013-Q2;94.6
GBR;QGDP;VOLIDX;IDX;Q;2013-Q3;95.5
GBR;QGDP;VOLIDX;IDX;Q;2013-Q4;96.1
GBR;QGDP;VOLIDX;IDX;Q;2014-Q1;96.8
GBR;QGDP;VOLIDX;IDX;Q;2014-Q2;97.4
GBR;QGDP;VOLIDX;IDX;Q;2014-Q3;98
GBR;QGDP;VOLIDX;IDX;Q;2014-Q4;98.6
GBR;QGDP;VOLIDX;IDX;Q;2015-Q1;99.1
GBR;QGDP;VOLIDX;IDX;Q;2015-Q2;99.8
GBR;QGDP;VOLIDX;IDX;Q;2015-Q3;100.2
GBR;QGDP;VOLIDX;IDX;Q;2015-Q4;100.9
GBR;QGDP;VOLIDX;IDX;Q;2016-Q1;101.1
GBR;QGDP;VOLIDX;IDX;Q;2016-Q2;101.5
GBR;QGDP;VOLIDX;IDX;Q;2016-Q3;101.8
GBR;QGDP;VOLIDX;IDX;Q;2016-Q4;102.4
GBR;QGDP;VOLIDX;IDX;Q;2017-Q1;103
GBR;QGDP;VOLIDX;IDX;Q;2017-Q2;103.3
GBR;QGDP;VOLIDX;IDX;Q;2017-Q3;103.7
GBR;QGDP;VOLIDX;IDX;Q;2017-Q4;104.1
GBR;QGDP;VOLIDX;IDX;Q;2018-Q1;104.1
GBR;QGDP;VOLIDX;IDX;Q;2018-Q2;104.5
GBR;QGDP;VOLIDX;IDX;Q;2018-Q3;105.2
GBR;QGDP;VOLIDX;IDX;Q;2018-Q4;105.3
GBR;QGDP;VOLIDX;IDX;Q;2019-Q1;105.9
GBR;QGDP;VOLIDX;IDX;Q;2019-Q2;105.9
GBR;QGDP;VOLIDX;IDX;Q;2019-Q3;106.2
GBR;QGDP;VOLIDX;IDX;Q;2019-Q4;106.4
